name,location
카모노하시 론의 금단추리 1~12권,책장 5-3
아가씨와 충견군 1~9권,책장 8-12
코타로는 1인 가구 1~10완,책장 4-2
들이닥친 왕자는 2가지 다른 맛 1~10권,책장 8-13
미스터리라 할지 말지어다 1~13권,책장 1-7
"타코피의 원죄 상,하",책장 7-7
악마에 입문했습니다! 이루마 군 1~38권,책장 1-4
바람을 부르는 마카나 1권,책장 8-12
체인소맨 1~17,1층
신 테니스의왕자(1~38),책장 2-6
되살아난 아가씨 루체타 1~2권,책장 8-12
"안녕, 에리",1층
룩 백,1층
좀 100: 좀비가 되기 전에 하고 ~100가지 1~14권,책장 7-7
아케비의 세일러복 1~13권 완,책장 7-10
보이는 여고생 1~9권,책장 7-7
아사 이야기! 1~8,책장 4-3
지:지구의 운동에 대하여 1~8완,06월 03일
폭군에게는 악녀가 어울린다 1~7권,책장 7-2
분위기를 읽을 수 있는 신입사원과 무표정한 선배 1~5권,책장 8-2
스매시! 1~18권 완,책장 2-2
그 녀석의 순정 1~13권,책장 8-11
어서오세요 실력지상주의 교실에 1~10권,책장 7-9
내 마음의 위험한 녀석 1~10권,책장 7-9
치유마법의 잘못된 사용법 1~4권,책장 7-7
망각 배터리 1~15권,책장 2-1
명탐정 코난 제로의 일상 1~6완,책장 5-1
이세계 삼촌 1~11권,책장 7-1
정년이 1~10권(완),책장 7-1
게게게의 기타로 1~10권(완),책장 5-7
겁쟁이 페달 1~87권,책장 2-3
츠구모모 1~25권,책장 6-6
악역영애는 이웃나라 왕태자의 사랑을 듬뿍 받는다 1~9권,책장 8-12
"너의 췌장을 먹고싶어 상,하 완",책장 4-2
메이드 인 허니 1~6권(완),책장 8-12
에덴의 꽃 1~12권(완),책장 8-1
카ㅏ키리 1~3완,08월 01일
친구친구 1~3권(완),책장 8-7
플라워 오브 라이프 1~4권(완),책장 8-16
라이어X라이어 1~10권,책장 8-2
벚꽃의 홍차왕자 1~13권(완),책장 8-3
오버드라이브 Over Drive 1~17권(완),책장 2-3
빨간 머리 백설 공주 1~25,08월 03일
엽기인Girl 스나코 1~36권(완),책장 8-1
오란고교 호스트부 1~18권(완),책장 8-1
태양의 집 1~13권(완),책장 8-13
일주일간 친구 1~7권(완),책장 8-1
우이 러브 1~11권(완),책장 8-3
러브 컬렉션 1~4권,책장 8-15
용이 피우는 꽃 1~7권(완),책장 8-13
미녀를 누가 말려? 1~7권(완),책장 8-6
"꿈의 물방울, 황금의 새장 1~17권",책장 8-6
모래판의폭풍 1~6권 완,책장 6-2
도망치는 건 부끄럽지만 도움이 된다 1~11권(완),책장 8-13
AAA 트리플 에이 1~3권,책장 8-1
5시부터 9시까지 1~16권(완),책장 8-13
좋으까 좋아 1~3완,08월 05일
봄으로 가는 버스 1~4권(완),책장 8-2
완전 멋진 달링 1~2권(완),책장 8-7
하츠네 미쿠 KEI 1~3,07월 01일
슈가 포트 1~3권(완),책장 8-17
풀하우스 키스 1~6권(완),책장 8-5
반짝반짝 은하마을 상점가 1~10권(완),책장 8-4
G1지원 1~13권(완),책장 8-9
우라카타! 1~5권,책장 4-5
"전차남- 힘내라 독신남! 1~3, 그래도 나는 떠나련다 1~3완",04월 03일
